,bc8,6/4,9/4,6/8,9/8,bc4,bc2,bc3,2/2,2/4,bc6,3/4,5/4,7/4,12/4,bc12,12/8,5/8,7/8,4/4
bc6,2.2160701277379324,1.819734674092023,1.822974179061345,1.9492082580912944,1.956329062020371,1.7253243712550144,1.4059673488550548,0.9851504736828418,1.7016270321773594,1.8038457288784004,0.0,1.8257896071944661,1.8281577289109308,1.8432162467346187,2.562463702949911,1.6916300351260647,2.6829871251947868,2.2330410736822994,2.2477659856916006,2.828244834396339
3/4,2.228734715968673,1.226996520213322,1.0861603474989177,1.2164373474380388,1.0613030634166942,2.2274000675525847,2.3496071430748593,2.090966148158034,0.6694558422690295,0.6668799675683812,1.8257896071944661,0.0,0.6833686713587299,0.74226460512984,1.5835575452267647,1.3153884198088388,1.6551982957831548,0.846177131156552,0.9004952716554432,1.7291506650831574
5/4,2.2525570492566733,1.2426393679204255,1.2609316794164562,1.2310758329750044,1.2498546646895923,2.250893514376732,2.368890339179246,2.101990718297503,0.6551968666372089,0.6474558519509955,1.8281577289109308,0.6833686713587299,0.0,0.6607983169511722,1.5818212388985289,1.306101922949829,1.6524538130619393,0.4296186390370476,0.8221295180224946,1.7144235294141053
7/4,2.2526717420512137,1.2371016162813258,1.2732070510642894,1.225053384060648,1.2631699825700682,2.2511478991248537,2.3690445921301735,2.108456502749894,0.6746283489097172,0.6682506181132923,1.8432162467346187,0.74226460512984,0.6607983169511722,0.0,1.5117997916700285,1.3521394837980825,1.5825590523675428,0.8219748526678075,0.4298833510835549,1.6503126196316635
12/4,2.344733997370035,1.3173445917394495,1.5938571688858252,1.245882563014849,1.5527598984792792,2.600582551723907,2.7559993450421447,2.6473890335114487,1.2716527543305935,1.248558337712245,2.562463702949911,1.5835575452267647,1.5818212388985289,1.5117997916700285,0.0,2.250825872611015,0.14109167208201076,1.6135131385962993,1.5355479853383478,0.6829481557905569
bc12,2.4208397543577864,1.732751831216743,1.7514942771371529,1.759672949936043,1.779958740071336,1.9883380930045633,2.225643361388572,1.968507919044107,1.2304973952373277,1.2686558685193914,1.6916300351260647,1.3153884198088388,1.306101922949829,1.3521394837980825,2.250825872611015,0.0,2.32709733203253,1.4187432839262148,1.4665764615925918,2.3683950990811624
12/8,2.4395604317236406,1.4260218443708879,1.6956431051852519,1.342886389209015,1.6431883961402762,2.712765879466653,2.891210597102619,2.7753450855522086,1.3577253727234893,1.3239161490664344,2.6829871251947868,1.6551982957831548,1.6524538130619393,1.5825590523675428,0.14109167208201076,2.32709733203253,0.0,1.6559501711707858,1.5766483519725802,0.6187517215161547
5/8,2.462810187313962,1.4533740142540938,1.4725780115743772,1.4020062723515732,1.4210362811335675,2.51202300263175,2.703749168423549,2.466199593525299,0.8724595395984809,0.8176875022562582,2.2330410736822994,0.846177131156552,0.4296186390370476,0.8219748526678075,1.6135131385962993,1.4187432839262148,1.6559501711707858,0.0,0.744646599778403,1.6705079074160372
7/8,2.463117746962628,1.448074728790257,1.4844679857631502,1.3960406610940372,1.4342307532456644,2.512488401223459,2.7041815705093497,2.4730699010436936,0.889053397069041,0.8363362259904386,2.2477659856916006,0.9004952716554432,0.8221295180224946,0.4298833510835549,1.5355479853383478,1.4665764615925918,1.5766483519725802,0.744646599778403,0.0,1.5954888209609237
4/4,2.9525040423525586,1.861380378003388,2.099986505736156,1.7887284402383967,2.050991344030468,3.1166874275784666,3.2385212044073435,3.025726361739568,1.448399438922543,1.376170140986057,2.828244834396339,1.7291506650831574,1.7144235294141053,1.6503126196316635,0.6829481557905569,2.3683950990811624,0.6187517215161547,1.6705079074160372,1.5954888209609237,0.0
