,2/2,4/4,2/4,c4,3/4,5/4,7/4,c8,6/4,c1,c2,5/8,7/8,9/4,6/8,9/8,12/8,c3,12/4,c6,c5,c16,c7,c12,c10,c9,c14
c2,1.014468479783025,1.014468479783025,0.5257394130651457,1.0,0.5411042389377494,0.5524848344170975,0.5578057911536867,1.7320508075688772,1.0807258406403695,0.0,0.0,0.2210880731139581,0.23035179007344964,1.0724052774225061,0.6299130617273753,0.62843090281635,1.2118349965353679,0.9985283792228454,1.8306739106385945,1.405967348855055,1.4090385954289635,2.6457513110645907,1.7203079548323494,2.225643361388572,1.9806758753205744,1.9977672979278003,2.4328828411822303
5/8,1.035743155397374,1.035743155397374,0.5695719223118384,1.0241483955332071,0.584732868988244,0.5553061187359066,0.6007009450693117,1.7440970295374234,1.1032565843939623,0.2210880731139581,0.2210880731139581,0.0,0.3201194510751704,1.095851525136583,0.667202423697537,0.6640809200026776,1.2320854081849202,1.021405466781219,1.8416627043183982,1.421621645564474,1.299576530730351,2.6501307794313322,1.734226346931871,2.2386725200968014,1.8375229006551195,2.006387503626664,2.4417320936957774
7/8,1.037832443760916,1.037832443760916,0.5701970274684808,1.0224138048887819,0.5840037648773514,0.5970768804262566,0.5777353290203622,1.7441025091176028,1.1002960485213027,0.23035179007344964,0.23035179007344964,0.3201194510751704,0.0,1.0918845228175225,0.6681476871130236,0.6662594488013395,1.2294764410028574,1.0236017727391715,1.8394524997581958,1.423513149339101,1.4286236872603713,2.6568921116399347,1.6173922940234198,2.2339084964603497,1.9938103630329933,2.0079518156942346,2.304631845902239
9/4,1.0769196136388108,1.0769196136388108,0.8754037077941605,0.8895032535432705,0.6640241793254249,0.8938972315106615,0.8929758824695787,1.6541658579813823,0.42205283775965724,1.0724052774225061,1.0724052774225061,1.095851525136583,1.0918845228175225,0.0,0.7595094709150559,0.9360040869724515,0.6736903266937851,1.1807436055382108,1.2045127208110995,1.2767201880471377,1.7666971646616314,2.6002261534681828,2.0074615046180653,1.3236420219440284,2.2457904240175615,1.961356856253136,2.6288549679309616
6/8,1.1108058073430815,1.1108058073430815,0.7432510616211871,1.0742061982982847,0.5860017233292065,0.7619170218638296,0.7643662168467119,1.7691240987642682,0.7544421828818575,0.6299130617273753,0.6299130617273753,0.667202423697537,0.6681476871130236,0.7595094709150559,0.0,0.3219910860324843,0.6824258442941183,0.752373590844862,1.4811939341071059,0.8531364454153678,1.5385922682307889,2.6695382843786453,1.8241870006481575,1.7281865157727403,2.071129779329348,1.8808877132049524,2.5014564542194067
9/8,1.1834883827448277,1.1834883827448277,0.8138045777712369,1.1769541997466937,0.7201474983696009,0.8320556649706025,0.8324071870479263,1.832779104676155,0.9659411635599995,0.62843090281635,0.62843090281635,0.6640809200026776,0.6662594488013395,0.9360040869724515,0.3219910860324843,0.0,0.880315520569642,0.7661118797523072,1.6414089991176128,0.8782185626960577,1.5389664864234225,2.706769258558743,1.822746517934163,1.9298784519711734,2.0724709250326274,1.7480045682535421,2.499626139328482
12/8,1.286515329008304,1.286515329008304,1.131611619072428,1.2855842246903986,0.9599607018447268,1.1731336029974986,1.1717949552159483,1.7646711770811705,0.5069669730066296,1.2118349965353679,1.2118349965353679,1.2320854081849202,1.2294764410028574,0.6736903266937851,0.6824258442941183,0.880315520569642,0.0,1.0696038260856948,0.9400461998927989,0.9042842975958788,1.8504827102921506,2.6666442993935466,2.0850585589983446,1.1700614158001093,2.3092023358004203,2.0151678581855426,2.688040906097136
c3,1.418914043257347,1.418914043257347,1.1264513455543492,1.413173352463668,1.0393274369564403,1.1382890962295513,1.140207965359475,1.9934059072973338,1.1789894124999782,0.9985283792228454,0.9985283792228454,1.021405466781219,1.0236017727391715,1.1807436055382108,0.752373590844862,0.7661118797523072,1.0696038260856948,0.0,1.7542454312800582,0.9927230311585716,1.7219393591550092,2.8237682467312903,1.9861975052672243,1.9905384202871277,2.211231908562089,1.7303420614635663,2.62103537337058
12/4,1.5296758125022638,1.5296758125022638,1.6169889378390616,1.6510182990933666,1.5210789885156788,1.6922162279245594,1.6956809823490804,1.7661879201260997,0.9447122749858438,1.8306739106385945,1.8306739106385945,1.8416627043183982,1.8394524997581958,1.2045127208110995,1.4811939341071059,1.6414089991176128,0.9400461998927989,1.7542454312800582,0.0,1.673619661483673,2.2910190774242185,2.483756189500277,2.4817477060570203,1.2750776518806126,2.664445908131586,2.4314506566879284,2.994555906614835
c6,1.726418696133,1.726418696133,1.4981210555223938,1.7253243712550146,1.361315324077826,1.5062602859190615,1.507346399928551,2.220412699959072,1.266510804220951,1.405967348855055,1.405967348855055,1.421621645564474,1.423513149339101,1.2767201880471377,0.8531364454153678,0.8782185626960577,0.9042842975958788,0.9927230311585716,1.673619661483673,0.0,1.9827827020761186,2.9883494705505136,2.211406917125668,1.7253243712550146,2.416401914229343,1.9890687404178684,2.7935455822620816
c5,1.7338454198684143,1.7338454198684143,1.5040097865693565,1.7278280479863808,1.5060983802610997,1.4099211517571408,1.5197332902937541,2.232798639243679,1.7673855659977369,1.4090385954289635,1.4090385954289635,1.299576530730351,1.4286236872603713,1.7666971646616314,1.5385922682307889,1.5389664864234225,1.8504827102921506,1.7219393591550092,2.2910190774242185,1.9827827020761186,0.0,2.98458034914388,2.2219900250831497,2.628340052142946,1.3954575013025874,2.4351867534761538,2.799863192873173
c16,1.9138834273526673,1.9138834273526673,2.395266615351726,2.449489742783178,2.5172275922926715,2.513066636649325,2.519420199810055,2.0,2.5117659099090064,2.6457513110645907,2.6457513110645907,2.6501307794313322,2.6568921116399347,2.6002261534681828,2.6695382843786453,2.706769258558743,2.6666442993935466,2.8237682467312903,2.483756189500277,2.9883494705505136,2.98458034914388,0.0,3.142988765232606,3.140137754347581,3.2816506165694674,3.299365244827406,3.5716602241474145
c7,1.9845197360019478,1.9845197360019478,1.7927641202071867,1.9830361651852022,1.7963088285358941,1.8052135699033238,1.7018682488965855,2.4245367347966456,2.013182093234803,1.7203079548323494,1.7203079548323494,1.734226346931871,1.6173922940234198,2.0074615046180653,1.8241870006481575,1.822746517934163,2.0850585589983446,1.9861975052672243,2.4817477060570203,2.211406917125668,2.2219900250831497,3.142988765232606,0.0,2.7904501775858566,2.611146743882335,2.6187922319639334,1.720307954832349
c12,2.1130271398227913,2.1130271398227913,2.0635106246913724,1.9883380930045633,1.8598798534198269,2.071177677140781,2.0702708055783265,2.420839754357787,1.2901286978175406,2.225643361388572,2.225643361388572,2.2386725200968014,2.2339084964603497,1.3236420219440284,1.7281865157727403,1.9298784519711734,1.1700614158001093,1.9905384202871277,1.2750776518806126,1.7253243712550146,2.628340052142946,3.140137754347581,2.7904501775858566,0.0,2.9691315897308668,2.6131765106343954,3.258793644139631
c10,2.221623036763501,2.221623036763501,2.049263002527252,2.2188007849009166,2.0479570024707123,1.901562047003055,2.0640197004698773,2.631174057921088,2.2429330538087173,1.9806758753205744,1.9806758753205744,1.8375229006551195,1.9938103630329933,2.2457904240175615,2.071129779329348,2.0724709250326274,2.3092023358004203,2.211231908562089,2.664445908131586,2.416401914229343,1.3954575013025874,3.2816506165694674,2.611146743882335,2.9691315897308668,0.0,2.8098501227702926,3.1165843022606845
c9,2.22929834367376,2.22929834367376,2.0592412089740284,2.226204495856456,2.011925531026619,2.067018330149924,2.065072684790653,2.6240828909878218,2.0756761838665434,1.9977672979278003,1.9977672979278003,2.006387503626664,2.0079518156942346,1.961356856253136,1.8808877132049524,1.7480045682535421,2.0151678581855426,1.7303420614635663,2.4314506566879284,1.9890687404178684,2.4351867534761538,3.299365244827406,2.6187922319639334,2.6131765106343954,2.8098501227702926,0.0,3.1166795682049266
c14,2.6168854616667545,2.6168854616667545,2.4806699817263924,2.6200887131669544,2.482431203294497,2.4927276570983006,2.3435986315315342,2.9591817714964312,2.634184531561144,2.4328828411822303,2.4328828411822303,2.4417320936957774,2.304631845902239,2.6288549679309616,2.5014564542194067,2.499626139328482,2.688040906097136,2.62103537337058,2.994555906614835,2.7935455822620816,2.799863192873173,3.5716602241474145,1.720307954832349,3.258793644139631,3.1165843022606845,3.1166795682049266,0.0
