,c6,6/8,9/8,12/8,c3,6/4,9/4,3/4,5/8,c2,7/8,5/4,7/4,2/4,12/4,c12,4/4,2/2,c4,c8
7/8,1.411497463796868,0.65546483381469,0.6501652454645972,1.2080245851389662,1.0135284268228382,1.0813346887088815,1.07701095509979,0.5775099745284954,0.3003589447482924,0.23035179007344966,0.0,0.5852483043836048,0.5527134941520594,0.5701151230850959,1.808727075577081,2.219465800378109,1.0353574208397751,1.0353574208397751,1.0222816614244599,1.7438928972480268
5/4,1.4810200781242244,0.7369892075803461,0.8005386696379058,1.1377645916950603,1.117635180980993,0.8642078005216504,0.8504890852576493,0.3482017305426329,0.5215003231176772,0.5524848344170975,0.5852483043836048,0.0,0.37732880591959905,0.35062914006168744,1.648587715676394,2.036453378951739,0.7908579820928363,0.7908579820928363,0.5923524086130485,1.531677149240665
7/4,1.4847925276607816,0.7422473701266755,0.8120146588472341,1.139675432255324,1.12166555373385,0.8666512467689604,0.8639303179444312,0.3567185381349066,0.5878618572430745,0.5578057911536867,0.5527134941520594,0.37732880591959905,0.0,0.3566170839176929,1.6509357310260633,2.0385146390922295,0.793012258147808,0.793012258147808,0.598032738894366,1.5294049088206862
2/4,1.4977175486956547,0.743087832623007,0.8137409931192062,1.1269124438945834,1.1237824769498568,0.8422062190824534,0.8750964606892008,0.3278551527953735,0.5687515443763678,0.5257394130651457,0.5701151230850959,0.35062914006168744,0.3566170839176929,0.0,1.6136071788100435,2.063015472803755,0.5713625498910355,0.5713625498910355,0.562734398147889,1.3073913125452439
12/4,1.6199807587834578,1.456312003638819,1.6052474740371598,0.8969738840542739,1.7175211749023243,0.9178152456875875,1.1537106893286961,1.4887604469537363,1.8130633808584724,1.8306739106385947,1.808727075577081,1.648587715676394,1.6509357310260633,1.6136071788100435,0.0,1.2157884911367243,1.5239735416949591,1.5239735416949591,1.65097119916055,1.7661364680496185
c12,1.6916300351260647,1.7147604564809344,1.904017427748976,1.159714159305838,1.968507919044107,1.2689462382606684,1.2957208616227913,1.8159956655955014,2.2131261168934677,2.225643361388572,2.219465800378109,2.036453378951739,2.0385146390922295,2.063015472803755,1.2157884911367243,0.0,2.1084477335637737,2.1084477335637737,1.9883380930045633,2.4208397543577864
4/4,1.7201513242621425,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,0.9793272886944041,1.073629668142576,0.7808585109320324,1.0340631848071955,1.014468479783025,1.0353574208397751,0.7908579820928363,0.793012258147808,0.5713625498910355,1.5239735416949591,2.1084477335637737,0.0,0.0,0.7487936309057044,0.8680149559175657
2/2,1.7201513242621425,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,0.9793272886944041,1.073629668142576,0.7808585109320324,1.0340631848071955,1.014468479783025,1.0353574208397751,0.7908579820928363,0.793012258147808,0.5713625498910355,1.5239735416949591,2.1084477335637737,0.0,0.0,0.7487936309057044,0.8680149559175657
c4,1.7253243712550144,1.07416059618284,1.1769529636693625,1.285580021628669,1.4090291046251149,0.8892996439540389,0.889204868285702,0.5786121950695781,1.0234641364243533,1.0,1.0222816614244599,0.5923524086130485,0.598032738894366,0.562734398147889,1.65097119916055,1.9883380930045633,0.7487936309057044,0.7487936309057044,0.0,1.4142135623730951
c8,2.2160701277379324,1.7676827799324082,1.8318304049988523,1.7614289935506746,1.9880347076139728,1.5172427005348845,1.654000426290441,1.523699348862208,1.743569536129644,1.7320508075688772,1.7438928972480268,1.531677149240665,1.5294049088206862,1.3073913125452439,1.7661364680496185,2.4208397543577864,0.8680149559175657,0.8680149559175657,1.4142135623730951,0.0
